video_pair,num_pairs,tau,matpix_total,matpix_mean,matpix_total_K,matpix_mean_K
video0,81,0.5,106779,1318.259,106.779,1.318
video1,81,0.5,160808,1985.284,160.808,1.985
video2,81,0.5,277949,3431.469,277.949,3.431
video3,81,0.5,155551,1920.383,155.551,1.92
video4,81,0.5,213888,2640.593,213.888,2.641
video5,81,0.5,93865,1158.827,93.865,1.159
video6,81,0.5,207416,2560.691,207.416,2.561
video7,81,0.5,106329,1312.704,106.329,1.313
video8,81,0.5,73059,901.963,73.059,0.902
video9,81,0.5,158827,1960.827,158.827,1.961
AVERAGE_OVER_ALL,810,0.5,,1919.1,,1.919
