video_pair,num_pairs,tau,matpix_total,matpix_mean,matpix_total_K,matpix_mean_K
video0,81,0.5,107092,1322.123,107.092,1.322
video1,81,0.5,160678,1983.679,160.678,1.984
video2,81,0.5,277451,3425.321,277.451,3.425
video3,81,0.5,155750,1922.84,155.75,1.923
video4,81,0.5,214356,2646.37,214.356,2.646
video5,81,0.5,94077,1161.444,94.077,1.161
video6,81,0.5,207408,2560.593,207.408,2.561
video7,81,0.5,107003,1321.025,107.003,1.321
video8,81,0.5,72723,897.815,72.723,0.898
video9,81,0.5,159443,1968.432,159.443,1.968
AVERAGE_OVER_ALL,810,0.5,,1920.964,,1.921
