video_pair,num_pairs,tau,matpix_total,matpix_mean,matpix_total_K,matpix_mean_K
video0,81,0.3,174170,2150.247,174.17,2.15
video1,81,0.3,224731,2774.457,224.731,2.774
video2,81,0.3,331818,4096.519,331.818,4.097
video3,81,0.3,215329,2658.383,215.329,2.658
video4,81,0.3,286406,3535.877,286.406,3.536
video5,81,0.3,151326,1868.222,151.326,1.868
video6,81,0.3,271284,3349.185,271.284,3.349
video7,81,0.3,170355,2103.148,170.355,2.103
video8,81,0.3,132784,1639.309,132.784,1.639
video9,81,0.3,216371,2671.247,216.371,2.671
AVERAGE_OVER_ALL,810,0.3,,2684.659,,2.685
