video_pair,num_pairs,tau,matpix_total,matpix_mean,matpix_total_K,matpix_mean_K
1,81,0.5,139646,1724.025,139.646,1.724
2,81,0.5,169391,2091.247,169.391,2.091
3,81,0.5,295708,3650.716,295.708,3.651
4,81,0.5,165343,2041.272,165.343,2.041
5,81,0.5,191211,2360.63,191.211,2.361
6,81,0.5,67469,832.951,67.469,0.833
7,81,0.5,222131,2742.358,222.131,2.742
8,81,0.5,78345,967.222,78.345,0.967
9,81,0.5,71006,876.617,71.006,0.877
10,81,0.5,192261,2373.593,192.261,2.374
AVERAGE_OVER_ALL,810,0.5,,1966.063,,1.966
